,SB 1289 Measure 1. Total Call Volume,,,,
Reporting Period,County Name,Number of Calls Received During Working Hours,Number of Calls Received After Working Hours,Total Number of Calls Received,Footnotes
Apr-26,Humboldt,"8,903",505,"9,408","[C, G, L, N, P]"
Apr-26,Kern,"59,789","6,592","66,381",[C]
Apr-26,Kings,"9,543","1,079","10,622",[C]
Apr-26,Los Angeles,"201,749",0,"201,749","[B, G, L, P]"
Apr-26,Marin,"5,034","1,712","6,746",[C]
Apr-26,Merced,56,0,56,[Q]
Apr-26,Monterey,"23,937","3,272","27,209",[C]
Apr-26,Napa,"4,271",0,"4,271","[C, D, G, P]"
Apr-26,Orange,"131,742","9,349","141,091",[C]
Apr-26,Placer,"13,167",809,"13,976",[C]
Apr-26,Riverside,186,0,186,[Q]
Apr-26,Sacramento,"146,196","19,189","165,385",[C]
Apr-26,San Bernardino,"144,264","7,038","151,302",[C]
Apr-26,San Diego,"176,557","7,256","183,813",[C]
Apr-26,San Francisco,"45,543","2,981","48,524",[C]
Apr-26,San Joaquin,54,0,54,[Q]
Apr-26,San Luis Obispo,"2,980",129,"3,109",[C]
Apr-26,San Mateo,"29,196","2,080","31,276",[C]
Apr-26,Santa Barbara,"25,728","3,051","28,779",[C]
Apr-26,Santa Clara,"62,676","5,709","68,385",[D]
Apr-26,Santa Cruz,"15,292","1,993","17,285","[C, G, P]"
Apr-26,Shasta,"9,253","2,120","11,373","[C, G, P]"
Apr-26,Solano,"26,509","1,391","27,900","[C, G, L]"
Apr-26,Sonoma,"16,210","5,355","21,565",[C]
Apr-26,Stanislaus,"33,992","2,224","36,216",[C]
Apr-26,Sutter,"7,298",492,"7,790",[B]
Apr-26,Tulare,"35,474","5,218","40,692","[C, G, P]"
Apr-26,Ventura,"35,929","3,122","39,051",[C]
Apr-26,Yolo,"9,359",986,"10,345",[C]
Apr-26,Yuba,"6,054",243,"6,297",[C]
May-26,Alameda,"42,395","2,885","45,280",[C]
May-26,Butte,"8,156",701,"8,857",[C]
May-26,Contra Costa,"51,200","7,340","58,540","[C, O]"
May-26,Fresno,"69,739","22,835","92,574",Blank
May-26,Humboldt,"7,838",666,"8,504","[C, G, L, N, P]"
May-26,Kern,"55,913","7,091","63,004",[C]
May-26,Kings,"8,378","1,346","9,724",[C]
May-26,Los Angeles,"196,876",0,"196,876","[B, G, L, P]"
May-26,Marin,"4,388","1,448","5,836",[C]
May-26,Merced,35,0,35,[Q]
May-26,Monterey,"18,430","2,910","21,340",[C]
May-26,Napa,"3,597",0,"3,597","[C, D, G, P]"
May-26,Orange,"109,909","9,648","119,557",[C]
May-26,Placer,"12,342",895,"13,237",[C]
May-26,Riverside,182,0,182,[Q]
May-26,Sacramento,"118,350","16,946","135,296",[C]
May-26,San Bernardino,"127,833","8,140","135,973",[C]
May-26,San Diego,"156,215","8,468","164,683",[C]
May-26,San Francisco,"39,341","3,249","42,590",[C]
May-26,San Joaquin,60,0,60,[Q]
May-26,San Luis Obispo,"2,542",136,"2,678",[C]
May-26,San Mateo,"24,036","2,120","26,156",[C]
May-26,Santa Barbara,"22,246","2,924","25,170",[C]
May-26,Santa Clara,"51,509","5,462","56,971",[D]
May-26,Santa Cruz,"12,165","1,764","13,929","[C, G, P]"
May-26,Shasta,"7,972","1,929","9,901","[C, G, P]"
May-26,Solano,"21,988","1,474","23,462","[C, G, L]"
May-26,Sonoma,"11,912","4,521","16,433",[C]
May-26,Stanislaus,"29,606","2,972","32,578",[C]
May-26,Sutter,"6,066",554,"6,620",[B]
May-26,Tulare,"33,683","5,522","39,205","[C, G, P]"
May-26,Ventura,"26,803","2,962","29,765",[C]
May-26,Yolo,"7,368",875,"8,243",[C]
May-26,Yuba,"7,832",533,"8,365",[C]
Jun-26,Alameda,"49,220","3,312","52,532",[C]
Jun-26,Butte,"9,213",816,"10,029",[C]
Jun-26,Contra Costa,"55,052","8,442","63,494","[C, O]"
Jun-26,Fresno,"84,576","24,391","108,967",Blank
Jun-26,Humboldt,"8,064",675,"8,739","[C, G, L, N, P]"
Jun-26,Kern,"65,031","7,082","72,113",[C]
Jun-26,Kings,"10,236","1,008","11,244",[C]
Jun-26,Los Angeles,"220,028",,"220,028","[B, G, L, P]"
Jun-26,Marin,"4,845","1,594","6,439",[C]
Jun-26,Merced,56,,56,[Q]
Jun-26,Monterey,"17,689","2,830","20,519",[C]
Jun-26,Napa,"3,968",,"3,968","[C, D, G, P]"
Jun-26,Orange,"113,690","8,349","122,039",[C]
Jun-26,Placer,"13,096",705,"13,801",[C]
Jun-26,Riverside,185,,185,[Q]
Jun-26,Sacramento,"143,065","21,490","164,555",[C]
Jun-26,San Bernardino,"128,268","9,070","137,338",[C]
Jun-26,San Diego,"176,537","4,902","181,439",[C]
Jun-26,San Francisco,"42,219","3,478","45,697",[C]
Jun-26,San Joaquin,67,,67,[Q]
